time_ms, x_mm, y_mm, heading_deg
5, 0.0, 0.0, 0
125, 4.0, 0.0, 0
238, 16.0, 0.0, 0
351, 28.0, 0.0, 0
465, 39.0, 0.0, 0
581, 51.00000000000001, 0.0, 0
692, 62.0, 0.0, 0
813, 74.0, 0.0, 0
925, 85.0, 0.0, 0
1039, 96.00000000000001, 0.0, 0
1150, 107.0, 0.0, 0
1263, 119.0, 0.0, 0
1374, 130.0, 0.0, 0
1485, 141.0, 0.0, 0
1598, 152.0, 0.0, 0
1709, 163.0, 0.0, 0
1823, 175.0, 0.0, 0
1934, 186.0, 0.0, 0
2046, 197.0, 0.0, 0
2164, 209.0, 0.0, 0
2275, 220.0, 0.0, 0
2388, 231.0, 0.0, 0
2503, 243.0, 0.0, 0
2620, 254.0, 0.0, 0
2733, 266.0, 0.0, 0
2845, 277.0, 0.0, 0
2958, 288.0, 0.0, 0
3075, 300.0, 0.0, 0
3187, 311.0, 0.0, 0
3299, 322.0, 0.0, 0
3413, 334.0, 0.0, 0
3525, 345.0, 0.0, 0
3637, 356.0, 0.0, 0
3753, 368.0, 0.0, 0
3864, 379.0, 0.0, 0
3976, 390.0, 0.0, 0
4087, 401.0, 0.0, 0
4203, 413.0, 0.0, 0
14106, 418.7850884871789, -6.894399988070802, -50
14222, 421.356238925925, -9.958577760546714, -50
14335, 429.0696902421636, -19.15111107797445, -50
17234, 432.8319118187459, -29.48772990661944, -70
17347, 434.2653836169271, -33.22205161260825, -69
17465, 438.7116454801608, -45.43805568282505, -70
18742, 440.7954236121639, -57.25574871897155, -80
18856, 441.5586595936701, -61.1822574527622, -79
18970, 443.8483675381886, -72.96178365413417, -79
19083, 445.9321456701917, -84.77947669028067, -80
19195, 447.8402356239572, -94.59574852475731, -79
20495, 447.8402356239572, -106.5957485247573, -90
20611, 447.9100452497064, -110.5951393053829, -89
20725, 448.1194741269538, -122.5933116472596, -89
20837, 448.3289030042011, -134.5914839891362, -89
20950, 448.5208794750112, -145.5898086358566, -89
21063, 448.7128559458213, -156.5881332825769, -89
27264, 454.6173872067359, -163.3805195045818, -49
27378, 456.5457500357955, -165.6786528339387, -50
27492, 465.0745174126721, -175.4898773768348, -49
28115, 474.4002689501557, -183.0417220694328, -39
28231, 477.5088527959836, -185.5590036336322, -39
28343, 486.8346043334673, -193.1108483262302, -39
30432, 497.2353086650598, -196.692098025259, -19
30548, 501.017382967457, -197.9943706430876, -19
30662, 513.3091244502482, -202.2267566510306, -19
30774, 523.7098287818407, -205.8080063500594, -19
30884, 534.1105331134331, -209.3892560490881, -19
30995, 544.5112374450256, -212.9705057481168, -19
31105, 554.9119417766181, -216.5517554471455, -19
31217, 565.3126461082105, -220.1330051461742, -19
31835, 574.2018411735668, -221.5409153315363, -9
31948, 578.1410721856156, -222.235508042204, -10
32059, 589.9587652217621, -224.3192861742072, -10
43376, 597.5106099143601, -214.9935346367235, 51
43493, 600.0278914785595, -211.8849507908957, 51
43606, 607.5797361711575, -202.559199253412, 51
43719, 615.1315808637555, -193.2334477159284, 51
45815, 617.4105579449556, -186.6148176867331, 71
45933, 618.7786385182583, -182.8560472035895, 70
46045, 622.8828802381663, -171.5797357541586, 70
46159, 626.9871219580743, -160.3034243047277, 70
46273, 630.7493435346567, -149.9668054760827, 70
46883, 632.4701226500991, -139.1022337295362, 81
47001, 633.1647153607669, -135.1630027174874, 80
47113, 635.0419289412497, -123.3107426303457, 81
47226, 636.7627080566922, -112.4461708837992, 81
47338, 638.4834871721347, -101.5815991372527, 81
47449, 640.3936171264709, -90.74871385411841, 80
47563, 642.2708307069537, -78.89645376697676, 81
48175, 642.0963066425809, -68.89797681541284, 91
48293, 642.0963066425809, -64.89797681541283, 90
48406, 641.8694253588963, -51.89995677837975, 91
48524, 641.6599964816489, -39.90178443650305, 91
48636, 641.6599964816489, -29.90178443650305, 90
48751, 641.4505676044014, -17.90361209462636, 91
48863, 641.2585911335912, -6.90528744790605, 91
48975, 641.0491622563439, 5.092884893970647, 91
49087, 641.0491622563439, 15.09288489397065, 90
49200, 641.0491622563439, 27.09288489397065, 90
49313, 640.8571857855337, 38.09120954069096, 91
49426, 640.6652093147236, 49.08953418741127, 91
49539, 640.4557804374762, 61.08770652928796, 91
49653, 640.2638039666661, 72.08603117600827, 91
49765, 640.2638039666661, 83.08603117600827, 90
49877, 640.0543750894187, 95.08420351788496, 91
49992, 639.8623986186085, 106.0825281646053, 91
50105, 639.6704221477984, 117.0808528113256, 91
50218, 639.4609932705509, 129.0790251532023, 91
50330, 639.2690167997408, 140.0773497999226, 91
50444, 639.0595879224934, 152.0755221417993, 91
50554, 638.8676114516833, 163.0738467885196, 91
50666, 638.8676114516833, 173.0738467885196, 90
50778, 638.8676114516833, 185.0738467885196, 90
50892, 638.6756349808731, 196.0721714352399, 91
51005, 638.483658510063, 207.0704960819602, 91
51116, 638.2742296328156, 219.0686684238369, 91
82484, 646.7314632198889, 215.9904871339059, -20
82599, 650.5135375222862, 214.6882145160773, -19
82714, 661.789848971717, 210.5839727961692, -20
84011, 672.1821538171302, 204.5839727961692, -30
84126, 674.8060129385484, 203.1295439354302, -29
84243, 686.0643431877461, 196.6295439354302, -30
85566, 695.2568765051739, 188.9160926191918, -40
85683, 698.3654603510018, 186.3988110549924, -39
85795, 707.6912118884853, 178.8469663623944, -39
85906, 716.239817464512, 171.9244420608462, -39
86022, 725.5655690019957, 164.3725973682481, -39
86133, 734.1141745780224, 157.4500730666999, -39
87447, 740.018705838937, 150.657686844695, -49
87563, 742.6952282643724, 147.6851075427854, -48
87677, 750.5679366122584, 138.6285925801121, -49
87792, 758.4406449601445, 129.5720776174388, -49
87905, 765.0012352500497, 122.0249818152111, -49
88018, 772.8739435979357, 112.9684668525379, -49
88130, 780.0905929168313, 104.6666614700873, -49
88245, 787.9633012647173, 95.61014650741409, -49
88358, 795.179950583613, 87.30834112496359, -49
88471, 802.3965999025085, 79.0065357425131, -49
88583, 810.2693082503945, 69.95002077983983, -49
88696, 817.4859575692903, 61.64821539738934, -49
88808, 824.7026068881858, 53.34641001493885, -49
88922, 832.5753152360718, 44.28989505226558, -49
89034, 839.7919645549676, 35.98808966981508, -49
89155, 847.6646729028536, 26.93157470714182, -49
89268, 854.8813222217492, 18.62976932469133, -49
89380, 862.0979715406449, 10.32796394224084, -49
89493, 869.9706798885309, 1.271448979567571, -49
89604, 877.1873292074265, -7.030356402882921, -49
89716, 884.4039785263222, -15.33216178533341, -49
89828, 891.6206278452178, -23.63396716778391, -49
89939, 898.8372771641135, -31.9357725502344, -49
90053, 906.7099855119995, -40.99228751290767, -49
90164, 913.9266348308951, -49.29409289535816, -49
90277, 921.1432841497908, -57.59589827780866, -49
90392, 929.0159924976768, -66.65241324048193, -49
90504, 935.5765827875819, -74.19950904270964, -49
92604, 944.4060587161712, -78.89422467056855, -28
92719, 947.9045375447289, -80.8334631515539, -29
92833, 959.3828562518949, -86.93659346777048, -28
92945, 969.0036730304282, -92.26949929048018, -29
93535, 976.6121251607895, -94.74163524547976, -18
93652, 980.41635122597, -95.97770322297954, -18
93766, 991.8290294215119, -99.68590715547892, -18
93879, 1003.241707617054, -103.3941110879783, -18
94486, 1011.163852166986, -104.5074958956588, -8
