time_ms, x_mm, y_mm, heading_deg
4, 0.0, 0.0, 0
128, 4.0, 0.0, 0
240, 17.0, 0.0, 0
352, 28.0, 0.0, 0
466, 39.0, 0.0, 0
580, 51.00000000000001, 0.0, 0
694, 62.0, 0.0, 0
808, 73.00000000000001, 0.0, 0
929, 85.0, 0.0, 0
1046, 97.00000000000001, 0.0, 0
1157, 108.0, 0.0, 0
1270, 119.0, 0.0, 0
1380, 131.0, 0.0, 0
1493, 142.0, 0.0, 0
1607, 153.0, 0.0, 0
1721, 165.0, 0.0, 0
1836, 176.0, 0.0, 0
1947, 187.0, 0.0, 0
2059, 199.0, 0.0, 0
2170, 209.0, 0.0, 0
2283, 221.0, 0.0, 0
2395, 232.0, 0.0, 0
2507, 243.0, 0.0, 0
2619, 254.0, 0.0, 0
2730, 266.0, 0.0, 0
2844, 277.0, 0.0, 0
2957, 288.0, 0.0, 0
3068, 299.0, 0.0, 0
3180, 310.0, 0.0, 0
3297, 322.0, 0.0, 0
3409, 333.0, 0.0, 0
3519, 344.0, 0.0, 0
3632, 356.0, 0.0, 0
3742, 367.0, 0.0, 0
3857, 378.0, 0.0, 0
11210, 385.6604444311898, -6.427876096865393, -40
11326, 388.7246222036657, -8.999026535611549, -40
11440, 397.9171555210934, -16.71247785185002, -40
14409, 403.2500613438031, -26.33329463038337, -61
14526, 405.2500613438031, -29.79739624552113, -60
14637, 411.2500613438031, -40.1897010909344, -60
15928, 415.3543030637111, -51.46601254036529, -70
16042, 416.7877748618923, -55.2003342463541, -69
16156, 420.8920165818004, -66.476645695785, -70
17450, 422.9909155309423, -77.27454471370931, -79
17566, 423.944960507825, -82.18268063094763, -79
17678, 426.2346684523435, -93.96220683231959, -79
17790, 428.3335674014856, -104.7601058502439, -79
17904, 430.4324663506275, -115.5580048681682, -79
18017, 432.722174295146, -127.3375310695402, -79
18129, 434.821073244288, -138.1354300874645, -79
18240, 436.91997219343, -148.9333291053888, -79
18350, 439.018871142572, -159.7312281233131, -79
24574, 446.8989786786392, -165.8878428765696, -38
24687, 450.0075625244671, -168.405124440769, -39
24798, 459.3333140619507, -175.956969133367, -39
25408, 469.0457375833989, -181.1211563240118, -28
25523, 472.5442164119565, -183.0603948049972, -29
25635, 484.0225351191227, -189.1635251212138, -28
26248, 493.5331002820742, -192.2536950649633, -18
26361, 498.2606931600707, -193.8815358372491, -19
26476, 509.6069160672625, -197.7883536907349, -19
26586, 520.0076203988551, -201.3696033897637, -19
27189, 527.9091271236162, -202.6210791100855, -9
27305, 531.848358135665, -203.3156718207533, -10
27417, 543.7006182228067, -205.192885401236, -9
27528, 554.5651899693532, -206.9136645166786, -9
27638, 565.4297617158996, -208.6344436321211, -9
27749, 577.2820218030413, -210.5116572126039, -9
33939, 584.9144546684491, -205.742383834505, 32
34054, 587.4859565705555, -204.1972696097749, 31
34166, 598.6291314796829, -197.5017746359442, 31
38093, 604.2627902331136, -186.906403521637, 62
38207, 606.1406764842571, -183.3746131502014, 62
38322, 611.7743352376879, -172.7792420358942, 62
38435, 616.9385224283327, -163.0668185144461, 62
